Lead Origin,Lead Source,Do Not Email,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,Lead Quality,Lead Profile,City,A free copy of Mastering The Interview,Last Notable Activity,Lead Score,Lead Category
Landing Page Submission,Direct Traffic,No,0,6.0,275,3.0,Email Opened,India,Operations Management,Unknown,Unemployed,Unknown,Unknown,Mumbai,Yes,Email Opened,6.84,Cold Lead
Landing Page Submission,Google,No,0,4.0,287,2.0,Email Opened,India,Marketing Management,Other,Unemployed,Might be,Unknown,Mumbai,No,Email Opened,21.59,Cold Lead
Landing Page Submission,Direct Traffic,No,0,2.0,547,2.0,Email Opened,India,Finance Management,Unknown,Unemployed,High in Relevance,Potential Lead,Mumbai,Yes,Email Opened,83.4,Hot Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.47,Cold Lead
API,Google,No,0,6.0,1225,6.0,Page Visited on Website,India,Supply Chain Management,Unknown,Unemployed,Worst,Other Leads,Thane & Outskirts,No,Modified,1.95,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.47,Cold Lead
API,Olark Chat,No,1,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,Low in Relevance,Potential Lead,Thane & Outskirts,No,Modified,50.89,Warm Lead
Landing Page Submission,Google,No,0,5.0,160,5.0,Email Opened,India,Business Administration,Online Search,Unemployed,Unknown,Unknown,Mumbai,No,Email Opened,3.03,Cold Lead
Landing Page Submission,Organic Search,No,0,6.0,394,2.0,Unreachable,India,E-COMMERCE,Unknown,Unemployed,Might be,Unknown,Mumbai,Yes,Modified,6.56,Cold Lead
API,Google,No,0,6.0,286,1.5,Olark Chat Conversation,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.7,Cold Lead
API,Organic Search,No,0,7.0,96,2.33,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,2.15,Cold Lead
API,Organic Search,No,0,2.0,12,2.0,Email Opened,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Email Opened,4.61,Cold Lead
Landing Page Submission,Referral Sites,No,1,13.0,436,13.0,Form Submitted on Website,India,IT Projects Management,Online Search,Unemployed,Low in Relevance,Potential Lead,Other Metro Cities,No,Modified,79.54,Warm Lead
API,Referral Sites,No,1,8.0,903,8.0,Page Visited on Website,India,Finance Management,Unknown,Unemployed,High in Relevance,Potential Lead,Other Cities of Maharashtra,No,Page Visited on Website,99.22,Hot Lead
Landing Page Submission,Organic Search,No,0,17.0,409,8.5,Email Opened,India,Human Resource Management,Unknown,Unemployed,Unknown,Unknown,Mumbai,Yes,Modified,2.54,Cold Lead
Landing Page Submission,Referral Sites,No,0,11.0,685,5.5,Email Opened,India,Services Excellence,Unknown,Unemployed,Not Sure,Unknown,Thane & Outskirts,Yes,Email Opened,19.8,Cold Lead
API,Google,No,0,4.0,213,4.0,Form Submitted on Website,India,International Business,Multiple Sources,Unemployed,Not Sure,Other Leads,Mumbai,No,Modified,3.92,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Email Opened,44.51,Cold Lead
API,Organic Search,No,1,7.0,1468,3.5,Page Visited on Website,India,Marketing Management,Unknown,Unemployed,High in Relevance,Potential Lead,Mumbai,No,Modified,96.74,Hot Lead
API,Olark Chat,No,0,0.0,0,0.0,Email Link Clicked,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,2.82,Cold Lead
Landing Page Submission,Direct Traffic,No,1,4.0,1435,4.0,Email Opened,India,Operations Management,Unknown,Working Professional,Might be,Potential Lead,Other Cities,Yes,Email Opened,98.33,Hot Lead
Landing Page Submission,Google,No,1,1.0,157,1.0,Converted to Lead,India,Hospitality Management,Word Of Mouth,Unemployed,Might be,Unknown,Other Cities of Maharashtra,No,Modified,56.35,Warm Lead
API,Google,No,1,3.0,885,1.5,Had a Phone Conversation,India,Operations Management,Unknown,Unemployed,High in Relevance,Potential Lead,Mumbai,No,Had a Phone Conversation,96.85,Hot Lead
API,Olark Chat,No,1,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,Low in Relevance,Potential Lead,Other Cities of Maharashtra,No,Modified,78.44,Warm Lead
API,Olark Chat,No,0,0.0,0,0.0,View in browser link Clicked,Unknown,Finance Management,Unknown,Unemployed,Low in Relevance,Other Leads,Unknown,No,Modified,14.71,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,5.95,Cold Lead
Landing Page Submission,Direct Traffic,No,0,1.0,1710,1.0,Converted to Lead,India,Retail Management,Unknown,Unemployed,Worst,Potential Lead,Thane & Outskirts,Yes,Modified,19.6,Cold Lead
Landing Page Submission,Direct Traffic,No,0,4.0,219,4.0,Email Opened,India,Business Administration,Word Of Mouth,Unemployed,Unknown,Unknown,Mumbai,No,Email Opened,3.86,Cold Lead
Landing Page Submission,Referral Sites,Yes,0,3.0,111,3.0,Email Bounced,India,International Business,Unknown,Unemployed,Not Sure,Unknown,Other Metro Cities,Yes,Modified,0.68,Cold Lead
API,Organic Search,No,0,6.0,224,6.0,Page Visited on Website,India,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,Modified,3.1,Cold Lead
Landing Page Submission,Direct Traffic,No,0,5.0,224,1.67,Page Visited on Website,India,Operations Management,Unknown,Unknown,Unknown,Unknown,Other Cities of Maharashtra,Yes,Page Visited on Website,0.82,Cold Lead
Landing Page Submission,Direct Traffic,No,1,2.0,1071,2.0,Email Opened,India,Marketing Management,Unknown,Unemployed,Not Sure,Unknown,Other Cities of Maharashtra,Yes,Email Opened,16.73,Cold Lead
Landing Page Submission,Google,No,1,6.0,595,3.0,Email Opened,India,"Banking, Investment And Insurance",Word Of Mouth,Working Professional,Low in Relevance,Potential Lead,Mumbai,No,Email Opened,95.15,Hot Lead
Lead Add Form,Welingak Website,No,1,3.0,1096,2.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,95.99,Hot Lead
API,Referral Sites,No,0,4.0,520,4.0,Email Opened,India,Operations Management,Student of SomeSchool,Unemployed,Unknown,Unknown,Mumbai,No,Email Opened,11.0,Cold Lead
Lead Add Form,Reference,No,1,3.0,705,2.0,Email Opened,Unknown,Hospitality Management,Unknown,Working Professional,Low in Relevance,Potential Lead,Thane & Outskirts,No,Modified,87.72,Hot Lead
API,Google,No,0,2.0,393,2.0,Email Opened,India,Unknown,Unknown,Unemployed,Not Sure,Other Leads,Unknown,No,Email Opened,2.37,Cold Lead
Lead Add Form,Welingak Website,No,1,3.0,346,2.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,94.99,Hot Lead
API,Olark Chat,No,1,0.0,0,0.0,Email Link Clicked,Unknown,Operations Management,Unknown,Working Professional,Might be,Potential Lead,Unknown,No,Email Link Clicked,97.23,Hot Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.47,Cold Lead
Landing Page Submission,Google,No,1,3.0,1136,3.0,Page Visited on Website,India,IT Projects Management,Other,Unemployed,Might be,Unknown,Mumbai,No,Modified,91.8,Hot Lead
API,Referral Sites,No,0,3.0,335,3.0,Email Opened,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,2.72,Cold Lead
API,Referral Sites,No,0,4.0,75,4.0,Email Opened,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Email Opened,3.15,Cold Lead
Landing Page Submission,Direct Traffic,No,0,6.0,97,3.0,Email Opened,Kuwait,Supply Chain Management,Unknown,Unknown,Unknown,Unknown,Mumbai,Yes,Email Opened,1.27,Cold Lead
Lead Add Form,Reference,No,1,3.0,1007,2.0,Email Opened,Unknown,Human Resource Management,Unknown,Unemployed,High in Relevance,Lateral Student,Mumbai,No,Modified,99.01,Hot Lead
Landing Page Submission,Organic Search,No,0,2.0,1085,2.0,Converted to Lead,India,Rural and Agribusiness,Unknown,Unemployed,Unknown,Unknown,Other Cities of Maharashtra,Yes,Modified,7.75,Cold Lead
API,Organic Search,No,0,3.0,214,3.0,Page Visited on Website,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,3.6,Cold Lead
API,Olark Chat,No,1,6.0,1158,1.5,Email Opened,India,Business Administration,Unknown,Unemployed,Unknown,Unknown,Other Cities,Yes,Email Opened,66.3,Warm Lead
Landing Page Submission,Google,No,0,4.0,101,4.0,Email Opened,India,Finance Management,Other,Unknown,Unknown,Unknown,Mumbai,No,Email Opened,0.95,Cold Lead
Landing Page Submission,Google,No,0,9.0,838,4.5,Email Opened,India,Healthcare Management,Word Of Mouth,Unknown,Unknown,Unknown,Mumbai,No,Email Opened,23.66,Cold Lead
Landing Page Submission,Direct Traffic,No,0,3.0,536,3.0,Unreachable,India,Finance Management,Unknown,Unemployed,Not Sure,Unknown,Mumbai,Yes,Modified,2.53,Cold Lead
Landing Page Submission,Direct Traffic,No,0,4.0,161,2.0,Unreachable,India,Marketing Management,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,Unreachable,11.98,Cold Lead
Landing Page Submission,Google,No,0,2.0,511,2.0,Form Submitted on Website,India,Healthcare Management,Student of SomeSchool,Unemployed,Unknown,Unknown,Mumbai,No,Modified,5.21,Cold Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,5.95,Cold Lead
API,Google,No,1,5.0,1110,5.0,Olark Chat Conversation,India,Human Resource Management,Unknown,Working Professional,Might be,Potential Lead,Unknown,No,Modified,93.53,Hot Lead
Landing Page Submission,Direct Traffic,No,1,5.0,1563,5.0,Email Opened,India,Finance Management,Unknown,Unemployed,High in Relevance,Potential Lead,Mumbai,Yes,Email Opened,98.06,Hot Lead
API,Referral Sites,No,0,7.0,1633,3.5,Converted to Lead,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,6.34,Cold Lead
API,Olark Chat,No,1,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,31.95,Cold Lead
Landing Page Submission,Google,No,0,12.0,809,4.0,Unreachable,India,Finance Management,Online Search,Unknown,Unknown,Unknown,Mumbai,No,Modified,7.54,Cold Lead
Landing Page Submission,Direct Traffic,No,0,2.0,638,2.0,Page Visited on Website,Oman,Healthcare Management,Unknown,Unemployed,Unknown,Unknown,Mumbai,Yes,Modified,8.43,Cold Lead
API,Google,No,1,5.0,1196,5.0,Page Visited on Website,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,41.36,Cold Lead
Landing Page Submission,Organic Search,No,0,6.0,1485,6.0,Email Opened,India,Supply Chain Management,Unknown,Unemployed,Unknown,Unknown,Other Cities,Yes,Email Opened,27.76,Cold Lead
API,Google,No,0,9.0,125,3.0,Page Visited on Website,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,0.98,Cold Lead
API,Google,No,1,3.0,165,3.0,Olark Chat Conversation,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,5.08,Cold Lead
Landing Page Submission,Google,No,0,6.0,398,3.0,Olark Chat Conversation,India,E-COMMERCE,Student of SomeSchool,Unknown,Unknown,Unknown,Mumbai,Yes,Olark Chat Conversation,3.03,Cold Lead
API,Organic Search,No,0,3.0,570,3.0,Converted to Lead,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,2.98,Cold Lead
Landing Page Submission,Organic Search,No,1,6.0,895,6.0,Email Opened,India,Operations Management,Unknown,Unemployed,Might be,Dual Specialization Student,Other Cities of Maharashtra,Yes,Email Opened,90.8,Hot Lead
Landing Page Submission,Google,No,1,4.0,1190,4.0,Email Opened,India,Human Resource Management,Multiple Sources,Unemployed,Might be,Unknown,Mumbai,No,Email Opened,71.16,Warm Lead
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Link Clicked,Unknown,Business Administration,Unknown,Working Professional,High in Relevance,Potential Lead,Unknown,No,Email Link Clicked,99.16,Hot Lead
API,Direct Traffic,No,0,5.0,1566,5.0,Converted to Lead,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,19.32,Cold Lead
API,Google,No,1,5.0,727,5.0,Email Opened,India,Unknown,Unknown,Unemployed,High in Relevance,Dual Specialization Student,Thane & Outskirts,No,Email Opened,87.56,Hot Lead
Landing Page Submission,Google,No,0,8.0,652,4.0,Unreachable,India,Hospitality Management,Other,Unemployed,Unknown,Unknown,Mumbai,No,Modified,3.88,Cold Lead
API,Organic Search,No,0,4.0,1248,1.33,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Email Opened,28.8,Cold Lead
API,Google,No,0,2.0,767,2.0,Email Opened,India,Unknown,Unknown,Unemployed,Worst,Student of SomeSchool,Unknown,No,Modified,0.46,Cold Lead
API,Referral Sites,No,0,10.0,275,3.33,Page Visited on Website,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Page Visited on Website,3.88,Cold Lead
API,Organic Search,No,0,3.0,273,3.0,Converted to Lead,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,2.12,Cold Lead
Lead Add Form,Reference,No,1,3.0,1111,2.0,Email Opened,Unknown,Marketing Management,Unknown,Working Professional,Low in Relevance,Potential Lead,Other Cities,No,Modified,96.48,Hot Lead
Landing Page Submission,Google,No,0,8.0,277,4.0,Email Opened,India,Finance Management,Online Search,Unknown,Unknown,Unknown,Mumbai,No,Email Opened,2.05,Cold Lead
API,Organic Search,No,1,3.0,1207,1.5,Olark Chat Conversation,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,46.95,Cold Lead
API,Google,No,0,2.0,39,1.0,Converted to Lead,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.61,Cold Lead
Landing Page Submission,Google,No,0,4.0,1638,4.0,Email Opened,India,Finance Management,Unknown,Unemployed,Not Sure,Unknown,Mumbai,Yes,Email Opened,25.75,Cold Lead
API,Referral Sites,No,0,16.0,53,16.0,Olark Chat Conversation,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,0.69,Cold Lead
Landing Page Submission,Direct Traffic,No,0,1.0,127,1.0,Converted to Lead,India,Finance Management,Unknown,Unemployed,Unknown,Unknown,Mumbai,Yes,Modified,2.39,Cold Lead
Landing Page Submission,Organic Search,Yes,0,5.0,100,5.0,Page Visited on Website,India,Supply Chain Management,Unknown,Unemployed,Unknown,Unknown,Mumbai,Yes,Modified,0.4,Cold Lead
Landing Page Submission,Google,Yes,0,4.0,323,4.0,Unsubscribed,India,International Business,Multiple Sources,Unknown,Unknown,Unknown,Mumbai,No,Unsubscribed,2.41,Cold Lead
API,Google,No,1,2.0,160,1.0,Olark Chat Conversation,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,6.86,Cold Lead
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Unknown,Marketing Management,Unknown,Businessman,High in Relevance,Potential Lead,Unknown,No,Modified,92.22,Hot Lead
API,Google,No,0,1.0,263,1.0,Converted to Lead,India,Unknown,Unknown,Unemployed,Not Sure,Other Leads,Unknown,No,Modified,2.16,Cold Lead
API,Google,No,0,2.0,1218,2.0,Olark Chat Conversation,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,45.24,Cold Lead
Lead Add Form,Reference,No,1,3.0,986,2.0,Email Opened,Unknown,Marketing Management,Unknown,Working Professional,High in Relevance,Potential Lead,Unknown,No,Modified,98.24,Hot Lead
Lead Add Form,Welingak Website,No,1,3.0,889,2.0,Email Opened,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,95.65,Hot Lead
Landing Page Submission,Google,No,1,5.0,1091,5.0,Unreachable,India,Finance Management,Online Search,Unemployed,High in Relevance,Potential Lead,Mumbai,No,Unreachable,99.31,Hot Lead
Landing Page Submission,Direct Traffic,No,0,4.0,291,4.0,Olark Chat Conversation,India,Supply Chain Management,Unknown,Unknown,Unknown,Unknown,Other Cities,Yes,Modified,2.13,Cold Lead
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Unknown,Hospitality Management,Unknown,Unemployed,High in Relevance,Potential Lead,Thane & Outskirts,No,Modified,93.28,Hot Lead
API,Google,Yes,0,1.0,1759,1.0,Olark Chat Conversation,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Olark Chat Conversation,35.33,Cold Lead
Landing Page Submission,Referral Sites,No,0,7.0,41,3.5,Email Opened,India,Services Excellence,Unknown,Unknown,Unknown,Unknown,Mumbai,Yes,Email Opened,1.7,Cold Lead
Landing Page Submission,Google,No,0,5.0,386,5.0,Email Opened,India,Business Administration,Online Search,Unemployed,Unknown,Unknown,Thane & Outskirts,No,Modified,2.9,Cold Lead
API,Referral Sites,No,0,6.0,216,2.0,Page Visited on Website,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Page Visited on Website,2.11,Cold Lead
Landing Page Submission,Google,No,1,5.0,1603,5.0,Email Opened,India,Operations Management,Online Search,Unemployed,High in Relevance,Potential Lead,Mumbai,No,Email Opened,97.74,Hot Lead
Landing Page Submission,google,No,0,7.0,106,3.5,Page Visited on Website,India,Unknown,Multiple Sources,Unknown,Unknown,Unknown,Other Cities,No,Modified,0.6,Cold Lead
API,Google,No,0,2.0,73,2.0,Unreachable,India,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,Modified,1.6,Cold Lead
API,Google,No,0,2.0,77,2.0,Converted to Lead,Unknown,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Modified,2.11,Cold Lead
Landing Page Submission,Direct Traffic,No,0,3.0,718,3.0,Unreachable,India,Hospitality Management,Unknown,Unknown,Unknown,Unknown,Thane & Outskirts,Yes,Modified,4.95,Cold Lead
Landing Page Submission,Google,No,0,5.0,432,1.67,Olark Chat Conversation,India,Marketing Management,Word Of Mouth,Unknown,Unknown,Unknown,Mumbai,No,Olark Chat Conversation,2.89,Cold Lead
Landing Page Submission,Google,No,0,5.0,232,2.5,Email Opened,India,Human Resource Management,Online Search,Unemployed,Might be,Other Leads,Other Cities,No,Email Opened,24.7,Cold Lead
Landing Page Submission,Direct Traffic,No,0,2.0,702,2.0,Email Opened,India,Hospitality Management,Unknown,Unemployed,Unknown,Unknown,Other Cities,Yes,Email Opened,20.23,Cold Lead
Landing Page Submission,Organic Search,No,1,5.0,614,5.0,Unreachable,India,Finance Management,Unknown,Unemployed,Low in Relevance,Potential Lead,Thane & Outskirts,Yes,Unreachable,98.28,Hot Lead
Landing Page Submission,Direct Traffic,No,1,1.0,1808,1.0,Converted to Lead,India,IT Projects Management,Unknown,Unknown,Unknown,Unknown,Thane & Outskirts,Yes,Modified,68.9,Warm Lead
Landing Page Submission,Direct Traffic,Yes,0,2.0,234,1.0,Email Bounced,India,Finance Management,Unknown,Unemployed,Not Sure,Unknown,Mumbai,Yes,Modified,0.32,Cold Lead
